HORA,COLUNA,Time_Contra,Time_Casa,Data_ano,Data_mes,Data_dia,Casa Gols Previsão,Visitante Gols Previsão
7,2,Marrocos,Argentina,2025,5,29,1.204205073136067,0.7547957903931994
7,2,País de Gales,Argentina,2025,5,29,0.8436271756721933,0.6797419784844826
7,2,Alemanha,Argentina,2025,5,29,0.6125728552744478,0.9866658322753875
7,2,Portugal,Argentina,2025,5,29,0.25273219179466383,1.0635285369206835
7,2,Suíça,Argentina,2025,5,29,0.29621500186527805,0.7317530695650111
7,2,Uruguai,Argentina,2025,5,29,0.1093586600271066,0.6550989452968973
7,2,Gana,Argentina,2025,5,29,0.5898986123169628,1.1220430832004207
7,2,Irã,Argentina,2025,5,29,0.8851165000938882,0.495390849306227
7,2,Austrália,Argentina,2025,5,29,1.2035236500197306,1.3052068305770075
7,2,Bélgica,Argentina,2025,5,29,0.14492651973612158,1.029075203651345
7,2,Equador,Argentina,2025,5,29,0.4530358021138447,1.464083264489588
7,2,Países Baixos,Argentina,2025,5,29,0.029891486545075608,1.6809647629715125
7,2,Costa Rica,Argentina,2025,5,29,0.7046918984735461,0.9530339695973699
7,2,Espanha,Argentina,2025,5,29,0.5004635921839528,0.8478417924909433
7,2,Tunísia,Argentina,2025,5,29,0.32491267918267763,1.0694545045111656
7,2,Polônia,Argentina,2025,5,29,0.1083833197961923,0.9546257559001957
7,2,França,Argentina,2025,5,29,0.9968325292888833,0.817573200647666
7,2,Coreia do Sul,Argentina,2025,5,29,0.7452090492459471,0.939836388780932
7,2,Dinamarca,Argentina,2025,5,29,0.5186714497241034,0.5748352503575481
7,2,Sérvia,Argentina,2025,5,29,0.6315301247616334,0.49914819345665984
7,2,México,Argentina,2025,5,29,0.3508384313103939,1.1463099415591318
7,2,Arábia Saudita,Argentina,2025,5,29,0.9786311191243459,1.0918185559642635
7,2,Qatar,Argentina,2025,5,29,0.7136454764292911,1.3052473335228645
7,2,Senegal,Argentina,2025,5,29,0.18451438592676492,0.8940652360086541
7,2,Japão,Argentina,2025,5,29,1.103782213334284,0.7189762561046288
7,2,Camarões,Argentina,2025,5,29,0.2751432823626619,1.199461572981759
7,2,Canadá,Argentina,2025,5,29,0.9180005966635354,1.5487703355529097
7,2,Inglaterra,Argentina,2025,5,29,0.9815473414390132,1.4160704601451708
7,2,EUA,Argentina,2025,5,29,0.5920564970215676,0.8043448340707344
7,2,Brasil,Argentina,2025,5,29,0.488942086233702,0.7734062507582291
7,2,Croácia,Argentina,2025,5,29,0.47644150395885204,0.590649975145033
7,2,País de Gales,Marrocos,2025,5,29,2.7262353731702387,0.7669388844017611
7,2,Alemanha,Marrocos,2025,5,29,1.431795555608168,1.170964969527092
7,2,Portugal,Marrocos,2025,5,29,2.642187445363408,1.031349152195279
7,2,Suíça,Marrocos,2025,5,29,1.1335903196207038,0.7958399182786463
7,2,Uruguai,Marrocos,2025,5,29,1.1220435597583807,0.7619641350530031
7,2,Gana,Marrocos,2025,5,29,2.4253487951052928,1.280173636436192
7,2,Irã,Marrocos,2025,5,29,2.0555513815044675,0.637601858961191
7,2,Austrália,Marrocos,2025,5,29,3.134778514123524,1.915420026779869
