Id da partida,Campeonato,Data,Tempo,Time da casa,Time contra,Gols time casa,Gols time contra,Gols totais,Odd Over 2.5,Odd Under 2.5,Odd Over 3.5,Odd Under 3.5,Odd Casa Vence,Odd Empate,Odd Visitante Vence,Placar Exato,Odd Placar Exato,Data das odds
1767316,Euro,2025-05-29,5:02,Dinamarca,República Tcheca,1,0,1,3.20,2.35,3.20,2.35,2.35,3.20,3.20,1-0,10.00,29-05-2025 01:49
1767323,Euro,2025-05-29,5:05,Ucrânia,Portugal,1,2,3,2.90,2.45,2.45,2.90,2.90,3.40,2.45,1-2,7.50,29-05-2025 01:49
1767330,Euro,2025-05-29,5:08,Dinamarca,Eslovênia,2,1,3,2.30,3.40,3.40,2.30,2.30,3.20,3.40,2-1,10.00,29-05-2025 01:49
1767337,Euro,2025-05-29,5:11,Alemanha,Escócia,0,0,0,3.40,2.10,3.40,2.10,2.10,3.60,3.40,0-0,7.00,29-05-2025 01:49
1767344,Euro,2025-05-29,5:14,Bélgica,Dinamarca,0,0,0,3.00,2.40,3.00,2.40,2.40,3.40,3.00,0-0,7.50,29-05-2025 01:49
1767351,Euro,2025-05-29,5:17,Escócia,Países Baixos,1,2,3,2.60,2.62,2.62,2.60,2.60,3.50,2.62,1-2,6.50,29-05-2025 01:49
1767358,Euro,2025-05-29,5:20,França,Eslováquia,3,0,3,1.90,4.00,4.00,1.90,1.90,3.60,4.00,3-0,7.00,29-05-2025 01:49
1767365,Euro,2025-05-29,5:23,Turquia,Países Baixos,0,0,0,2.75,2.50,2.75,2.50,2.50,3.40,2.75,0-0,7.50,29-05-2025 01:49
1767372,Euro,2025-05-29,5:26,França,Suíça,2,0,2,3.30,2.10,3.30,2.10,2.10,3.60,3.30,2-0,6.50,29-05-2025 01:49
1767379,Euro,2025-05-29,5:29,Bélgica,Romênia,3,2,5,2.15,3.25,2.15,3.25,2.15,3.60,3.25,3-2,6.50,29-05-2025 01:49
1767386,Euro,2025-05-29,5:32,Inglaterra,Escócia,0,0,0,3.50,2.07,3.50,2.07,2.07,3.60,3.50,0-0,7.00,29-05-2025 01:49
1767393,Euro,2025-05-29,5:35,Dinamarca,Ucrânia,0,1,1,3.25,2.25,3.25,2.25,2.25,3.40,3.25,0-1,8.50,29-05-2025 01:49
1767400,Euro,2025-05-29,5:38,Polônia,França,1,1,2,2.30,3.10,2.30,3.10,3.10,3.40,2.30,1-1,7.50,29-05-2025 01:49
1767407,Euro,2025-05-29,5:41,Inglaterra,Espanha,0,1,1,2.90,2.30,2.90,2.30,2.30,3.60,2.90,0-1,6.00,29-05-2025 01:49
1767414,Euro,2025-05-29,5:44,República Tcheca,Croácia,0,1,1,2.75,2.62,2.75,2.62,2.62,3.30,2.75,0-1,8.50,29-05-2025 01:49
1767421,Euro,2025-05-29,5:47,Hungria,Romênia,2,4,6,2.37,3.00,2.37,3.00,2.37,3.40,3.00,2-4,7.50,29-05-2025 01:49
1767176,Euro,2025-05-29,4:02,Albânia,Itália,0,2,2,2.60,2.87,2.60,2.87,2.87,3.20,2.60,0-2,10.00,29-05-2025 01:49
